Glade,glade_area,Metrics,Value,BTS
Glade11,1812.82,S total,21.956,D) Total
Glade12,2330.77,S total,21.938,D) Total
Glade13,3625.65,S total,10.973,D) Total
Glade14,2945.84,S total,26.356,D) Total
Glade15,2622.12,S total,15.975,D) Total
Glade16,2330.77,S total,11.483,D) Total
Glade17,4920.52,S total,21.959,D) Total
Glade18,2330.77,S total,32.209,D) Total
Glade19,3237.19,S total,15.646,D) Total
Glade20,226.6,S total,16.066,D) Total
Glade21,10488.49,S total,21.999,D) Total
Glade22,582.69,S total,14.96,D) Total
Glade23,971.16,S total,8.491,D) Total
Glade24,226.6,S total,6.244,D) Total
Glade25,1812.82,S total,11.467,D) Total
Glade25S,582.69,S total,13.988,D) Total
Glade26,5179.5,S total,22.98,D) Total
Glade27,2913.47,S total,14.491,D) Total
Glade27W,1748.08,S total,17.12,D) Total
Glade28,793.11,S total,14.45,D) Total
Glade29,1812.82,S total,17.13,D) Total
Glade30,582.69,S total,5.778,D) Total
Glade31,776.92,S total,8.987,D) Total
Glade4,517.95,S total,13.214,D) Total
Glade5,647.44,S total,15.953,D) Total
Glade6,776.92,S total,8.976,D) Total
Glade8,6215.4,S total,20.246,D) Total
Glade9,1553.85,S total,23.936,D) Total
Glade4,517.95,β Sn,1.293447498,F) Beta
Glade5,647.44,β Sn,1.352831462,F) Beta
Glade6,776.92,β Sn,1.274004457,F) Beta
Glade8,6215.4,β Sn,1.271699003,F) Beta
Glade9,1553.85,β Sn,1.133771172,F) Beta
Glade11,1812.82,β Sn,0.8034331,F) Beta
Glade12,2330.77,β Sn,1.104557993,F) Beta
Glade13,3625.65,β Sn,1.24724318,F) Beta
Glade14,2945.84,β Sn,1.004601792,F) Beta
Glade15,2622.12,β Sn,1.615627734,F) Beta
Glade16,2330.77,β Sn,1.273725146,F) Beta
Glade17,4920.52,β Sn,1.235897704,F) Beta
Glade18,2330.77,β Sn,1.034503669,F) Beta
Glade19,3237.19,β Sn,0.9121644774,F) Beta
Glade20,226.6,β Sn,1.1184573,F) Beta
Glade21,10488.49,β Sn,1.031045934,F) Beta
Glade22,582.69,β Sn,1.233752621,F) Beta
Glade23,971.16,β Sn,1.501134644,F) Beta
Glade24,226.6,β Sn,1.012870207,F) Beta
Glade25,1812.82,β Sn,1.253111215,F) Beta
Glade26,5179.5,β Sn,0.9999897443,F) Beta
Glade27,2913.47,β Sn,1.457749837,F) Beta
Glade28,793.11,β Sn,0.9330372485,F) Beta
Glade29,1812.82,β Sn,1.207510761,F) Beta
Glade30,582.69,β Sn,2.148717949,F) Beta
Glade31,776.92,β Sn,1.216132975,F) Beta
Glade25S,582.69,β Sn,1.386494118,F) Beta
Glade27W,1748.08,β Sn,1.241126815,F) Beta
Glade11,1812.82,α S PIE,4.67034735,E) Local
Glade12,2330.77,α S PIE,4.86270187,E) Local
Glade13,3625.65,α S PIE,5.108011567,E) Local
Glade14,2945.84,α S PIE,4.219245682,E) Local
Glade15,2622.12,α S PIE,3.613586118,E) Local
Glade16,2330.77,α S PIE,3.873332341,E) Local
Glade17,4920.52,α S PIE,2.816900639,E) Local
Glade18,2330.77,α S PIE,4.174701094,E) Local
Glade19,3237.19,α S PIE,4.51619695,E) Local
Glade20,226.6,α S PIE,2.954545455,E) Local
Glade21,10488.49,α S PIE,4.465642168,E) Local
Glade22,582.69,α S PIE,2.591130546,E) Local
Glade23,971.16,α S PIE,3.28E+00,E) Local
Glade24,226.6,α S PIE,1.592057762,E) Local
Glade25,1812.82,α S PIE,5.174057438,E) Local
Glade25S,582.69,α S PIE,2.115384615,E) Local
Glade26,5179.5,α S PIE,3.768437315,E) Local
Glade27,2913.47,α S PIE,4.672642459,E) Local
