"";"Site";"m";"order";"qD";"qD.LCL";"qD.UCL";"SC";"SC.LCL";"SC.UCL"
"1";1;340;0;20,903;10,512;31,295;0,982;0,953;1,011
"2";2;340;0;25,065;16,635;33,495;0,963;0,936;0,991
"3";3;340;0;23,861;19,291;28,43;0,981;0,965;0,997
"4";4;340;0;16,88;9,697;24,063;0,987;0,964;1,01
"5";5;340;0;15,8315;7,58;24,0835;0,9965;0,98;1,014
"6";6;340;0;16,4325;9,805;23,0605;0,9805;0,9595;1,0015
"7";7;340;0;24,8795;19,673;30,0855;0,9845;0,9685;1,0015
"8";8;340;0;27,4225;21,456;33,3895;0,9715;0,9465;0,9965
"9";9;340;0;31,5666666666667;23,2226666666667;39,911;0,971;0,940666666666667;1,00033333333333
"10";10;340;0;30,664;19,0633333333333;42,2653333333333;0,958;0,917;0,998666666666667
"11";11;340;0;21,6973333333333;16,6803333333333;26,7133333333333;0,975;0,958;0,992666666666667
