"Study","Site","Area","Scale","index","value"
"grasshopper_glades_RybergChase","4",517.95,"alpha","S_n",4.81506155990694
"grasshopper_glades_RybergChase","5",647.44,"alpha","S_n",8.08175205413422
"grasshopper_glades_RybergChase","6",776.92,"alpha","S_n",4.51193761192683
"grasshopper_glades_RybergChase","8",6215.4,"alpha","S_n",9.10284342376431
"grasshopper_glades_RybergChase","9",1553.85,"alpha","S_n",7.38541982134678
"grasshopper_glades_RybergChase","11",1812.82,"alpha","S_n",8.62148667890172
"grasshopper_glades_RybergChase","12",2330.77,"alpha","S_n",6.65193167572318
"grasshopper_glades_RybergChase","13",3625.65,"alpha","S_n",4.85148227416378
"grasshopper_glades_RybergChase","14",2945.84,"alpha","S_n",6.76374736417208
"grasshopper_glades_RybergChase","15",2622.12,"alpha","S_n",5.14251072780677
"grasshopper_glades_RybergChase","16",2330.77,"alpha","S_n",6.77073252920226
"grasshopper_glades_RybergChase","17",4920.52,"alpha","S_n",7.13436667500473
"grasshopper_glades_RybergChase","18",2330.77,"alpha","S_n",8.10843963352416
"grasshopper_glades_RybergChase","19",3237.19,"alpha","S_n",4.80806340915427
"grasshopper_glades_RybergChase","20",226.6,"alpha","S_n",5.68749550230479
"grasshopper_glades_RybergChase","21",10488.49,"alpha","S_n",9.06567321283325
"grasshopper_glades_RybergChase","22",582.69,"alpha","S_n",5.74861265854175
"grasshopper_glades_RybergChase","23",971.16,"alpha","S_n",5.89549525556441
"grasshopper_glades_RybergChase","24",226.6,"alpha","S_n",2.38214265189131
"grasshopper_glades_RybergChase","25",1812.82,"alpha","S_n",8.81437916294465
"grasshopper_glades_RybergChase","26",5179.5,"alpha","S_n",6.26775743986425
"grasshopper_glades_RybergChase","27",2913.47,"alpha","S_n",7.72757735593589
"grasshopper_glades_RybergChase","28",793.11,"alpha","S_n",7.92720384516342
"grasshopper_glades_RybergChase","29",1812.82,"alpha","S_n",4.20511142462065
"grasshopper_glades_RybergChase","30",582.69,"alpha","S_n",1.33333333333333
"grasshopper_glades_RybergChase","31",776.92,"alpha","S_n",6.26497899787268
"grasshopper_glades_RybergChase","25S",582.69,"alpha","S_n",4.93068848194695
"grasshopper_glades_RybergChase","27W",1748.08,"alpha","S_n",6.21286901091395
"grasshopper_glades_RybergChase","4",517.95,"alpha","S_PIE",4.71195652173913
"grasshopper_glades_RybergChase","5",647.44,"alpha","S_PIE",3.88952155264693
"grasshopper_glades_RybergChase","6",776.92,"alpha","S_PIE",5.05912162162162
"grasshopper_glades_RybergChase","8",6215.4,"alpha","S_PIE",4.83081343966628
"grasshopper_glades_RybergChase","9",1553.85,"alpha","S_PIE",3.84024704563604
"grasshopper_glades_RybergChase","11",1812.82,"alpha","S_PIE",5.23851190942581
"grasshopper_glades_RybergChase","12",2330.77,"alpha","S_PIE",6.15863759296823
"grasshopper_glades_RybergChase","13",3625.65,"alpha","S_PIE",6.34722222222222
"grasshopper_glades_RybergChase","14",2945.84,"alpha","S_PIE",6.25793650793651
"grasshopper_glades_RybergChase","15",2622.12,"alpha","S_PIE",4.25006956681205
"grasshopper_glades_RybergChase","16",2330.77,"alpha","S_PIE",4.23678767605974
"grasshopper_glades_RybergChase","17",4920.52,"alpha","S_PIE",4.00588338960357
"grasshopper_glades_RybergChase","18",2330.77,"alpha","S_PIE",6.21418315484853
"grasshopper_glades_RybergChase","19",3237.19,"alpha","S_PIE",5.17716312056737
"grasshopper_glades_RybergChase","20",226.6,"alpha","S_PIE",3
"grasshopper_glades_RybergChase","21",10488.49,"alpha","S_PIE",5.20195691374515
"grasshopper_glades_RybergChase","22",582.69,"alpha","S_PIE",3.34389828990957
"grasshopper_glades_RybergChase","23",971.16,"alpha","S_PIE",4.79065934065934
"grasshopper_glades_RybergChase","24",226.6,"alpha","S_PIE",2.12460317460317
"grasshopper_glades_RybergChase","25",1812.82,"alpha","S_PIE",6.82367213441577
"grasshopper_glades_RybergChase","26",5179.5,"alpha","S_PIE",4.59868328279367
"grasshopper_glades_RybergChase","27",2913.47,"alpha","S_PIE",5.45465438119089
"grasshopper_glades_RybergChase","28",793.11,"alpha","S_PIE",5.40976753932625
"grasshopper_glades_RybergChase","29",1812.82,"alpha","S_PIE",4.7583850931677
"grasshopper_glades_RybergChase","30",582.69,"alpha","S_PIE",1.66666666666667
"grasshopper_glades_RybergChase","31",776.92,"alpha","S_PIE",3.18535561660562
"grasshopper_glades_RybergChase","25S",582.69,"alpha","S_PIE",3.39583333333333
"grasshopper_glades_RybergChase","27W",1748.08,"alpha","S_PIE",4.97891106864567
"grasshopper_glades_RybergChase","11",1812.82,"beta","beta_S_n",1.36568188486035
"grasshopper_glades_RybergChase","12",2330.77,"beta","beta_S_n",2.517989086582
"grasshopper_glades_RybergChase","13",3625.65,"beta","beta_S_n",2.47284456979252
"grasshopper_glades_RybergChase","14",2945.84,"beta","beta_S_n",2.39097726894159
"grasshopper_glades_RybergChase","15",2622.12,"beta","beta_S_n",1.93863654379641
"grasshopper_glades_RybergChase","16",2330.77,"beta","beta_S_n",1.46614361822263
"grasshopper_glades_RybergChase","17",4920.52,"beta","beta_S_n",2.66459003539086
"grasshopper_glades_RybergChase","18",2330.77,"beta","beta_S_n",1.90541187682912
"grasshopper_glades_RybergChase","19",3237.19,"beta","beta_S_n",2.40613066367834
"grasshopper_glades_RybergChase","20",226.6,"beta","beta_S_n",4.42819648330287
"grasshopper_glades_RybergChase","21",10488.49,"beta","beta_S_n",1.64198188762018
"grasshopper_glades_RybergChase","22",582.69,"beta","beta_S_n",2.86744706602399
"grasshopper_glades_RybergChase","23",971.16,"beta","beta_S_n",2.53212761410953
"grasshopper_glades_RybergChase","24",226.6,"beta","beta_S_n",3.41221795927914
"grasshopper_glades_RybergChase","25",1812.82,"beta","beta_S_n",1.51215792554465
