"Site";"N_local";"S_local";"PIE_local";"S_pie_local";"N_gamma";"S_gamma";"PIE_gamma";"S_pie_gamma";"S_total"
"1";"Alexandria";6,33333333333333;1,66666666666667;0,328282828282828;1,64705882352941;19;2;0,4093567251462;1,6930693069307;2
"2";"Boat Island";2;2;1;Inf;2;2;1;Inf;2,5
"3";"Chester Island";1;1;0;1;1;1;0;1;1
"4";"Havelock";17,5;5;0,81491228070176;5,86111111111131;35;7;0,820168067226897;5,5607476635516;7
"5";"Hobday Island";4;2;0,633333333333333;2,75;8;2;0,571428571428571;2,33333333333333;2
"6";"Little Andaman";36,3;4;0,662912127875941;3,24435937893696;363;7;0,665768686361341;2,99193989071027;7
"7";"Long Island";5;2;0,357142857142857;2,25;10;3;0,711111111111111;3,46153846153846;3
"8";"Neil Island";27;4,5;0,668440331598229;3,33812111801247;54;5;0,621243885394831;2,64022140221404;5,491
"9";"North Andaman";9,25;3,75;0,741468253968252;4,32196969696964;37;6;0,734234234234221;3,7627118644066;6
"10";"Redskin";10,6666666666667;2;0,291938997821351;1,56190476190476;32;3;0,401209677419355;1,67003367003367;3
"11";"Rutland";13,2;3;0,550049950049951;2,46795131845842;66;5;0,580419580419585;2,38333333333336;5
"12";"Snob Island";4;1;0;1;4;1;0;1;1
"13";"South Andaman";14,5;3,75;0,584651262050644;2,57283362771749;116;9;0,583208395802102;2,39928057553959;14,948
"14";"Tarmugli";3,25;1,75;0,5;Inf;13;3;0,602564102564102;2,51612903225806;3
