"";"Site";"N_local";"S_local";"PIE_local";"S_pie_local";"N_gamma";"S_gamma";"PIE_gamma";"S_pie_gamma";"S_total"
"1";"11";20,2222222222222;6,66666666666667;0,785883163490516;5,23851190942585;182;14;0,78155546111348;4,57782101167331;21,956
"2";"12";14,3333333333333;5,22222222222222;0,794353010589567;Inf;129;14;0,822674418604632;5,63934426229447;21,938
"3";"13";6,72727272727273;3,36363636363636;0,804229104229104;Inf;74;9;0,831173639392824;5,92324561403532;10,973
"4";"14";12,4285714285714;5;0,762990810359232;6,25793650793653;87;14;0,86206896551721;7,24999999999835;26,356
"5";"15";22,5714285714286;4,85714285714286;0,723266592436478;4,25006956681212;158;12;0,773683786180752;4,41859636622708;15,975
"6";"16";15;4,83333333333333;0,741824374455953;4,23678767605972;90;10;0,759550561797764;4,15887850467308;11,483
"7";"17";27,8571428571429;5,71428571428571;0,644999903071819;4,00588338960356;195;14;0,798149616706326;4,95416448402325;21,959
"8";"18";14,8;5,6;0,760461892354543;6,21418315484855;296;20;0,812826385707703;5,34263338227986;32,209
"9";"19";11,7272727272727;4;0,778574758574758;Inf;129;13;0,75617732558138;4,1013412816689;15,646
"10";"20";5,66666666666667;3,33333333333333;0,661538461538461;Inf;34;10;0,807486631016059;5,19444444444489;16,066
"11";"21";28,025641025641;7,17948717948718;0,776068040755469;5,20195691374508;1093;21;0,83337187362804;6,00138777152019;21,999
"12";"22";14,1428571428571;4,14285714285714;0,614068074782362;Inf;99;11;0,630179344465069;2,7040133779265;14,96
"13";"23";8,14285714285714;4;0,695330859616574;160842843834664;57;8;0,795112781954902;4,88073394495448;8,491
"14";"24";6,14285714285714;2,14285714285714;0,3718820861678;1,96394557823129;43;6;0,472868217054258;1,89705882352939;6,244
"15";"25";17;6,4;0,806728082932616;6,82367213441615;170;12;0,825687434737177;5,73682108626094;13,988
"16";"25S";6,57142857142857;3,28571428571429;0,527272727272727;3,05357142857142;46;10;0,797101449275393;4,92857142857218;11,467
"17";"26";16,8888888888889;5,05555555555556;0,734638016667868;4,59868328279368;304;17;0,823367205141535;5,66146281499591;22,98
"18";"27";17,6666666666667;5,66666666666667;0,78598833342386;5,45465438119086;212;16;0,802512742555658;5,06361784016284;17,12
"19";"27W";12,2857142857143;4,14285714285714;0,655471769938337;4,97891106864569;172;13;0,724194206446341;3,62573964497031;14,491
"20";"28";12,8571428571429;5,28571428571429;0,827716331287757;Inf;90;10;0,817727840199764;5,48630136986341;14,45
"21";"29";5,2;2,9;0,724523809523809;Inf;52;11;0,796380090497741;4,9111111111112;17,13
"22";"30";2,25;1,25;0,166666666666667;1,5;9;4;0,694444444444444;3,27272727272727;5,778
"23";"31";19,25;5;0,651502849002847;3,18535561660558;77;8;0,691045796308947;3,23672566371674;8,987
"24";"4";7,75;3,75;0,707406135531134;4,71195652173896;62;11;0,738233738762541;3,82020202020174;13,214
"25";"5";17,2;5,4;0,686974052779005;3,88952155264689;86;12;0,676333789329698;3,08960270498744;15,953
"26";"6";7;3,16666666666667;0,793434343434342;Inf;42;8;0,736353077816485;3,79295154185011;8,976
"27";"8";24,8181818181818;6,81818181818182;0,781220880896356;51177268492851,2;546;18;0,792122861847688;4,81053380322804;20,246
"28";"9";14;4,6;0,611122703626907;3,84024704563605;140;15;0,777183967112026;4,48800738007383;23,936
