"";"m";"order";"qD";"qD.LCL";"qD.UCL";"SC";"SC.LCL";"SC.UCL";"Site"
"V1.6";340;0;20,903;9,111;32,696;0,982;0,951;1,013;1
"V2.6";340;0;25,065;18,73;31,4;0,963;0,939;0,987;2
"V3.6";340;0;23,861;19,388;28,334;0,981;0,966;0,997;3
"V4.6";340;0;16,88;10,612;23,147;0,987;0,967;1,008;4
"V5.6";340;0;22,361;16,46;28,261;0,984;0,962;1,007;5
"V6.3";340;0;17,225;14,321;20,128;0,986;0,978;0,993;6
"V7.3";340;0;29,619;25,932;33,305;0,968;0,959;0,977;7
"V8.3";340;0;29,532;25,894;33,17;0,967;0,959;0,975;8
"V9.3";340;0;34,35;31,431;37,27;0,962;0,954;0,969;9
"V10.3";340;0;34,669;30,829;38,509;0,959;0,949;0,97;10
"V11.3";340;0;24,995;22,27;27,721;0,969;0,962;0,976;11
