case_study_ID,Year,Reference,Type,Taxa,island_name,Area ,unit (area)
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Alexandria,3.6,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Boat Island,2.8,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Chester Island,0.09,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Havelock,113.93,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Hobday Island,3.6,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Little Andaman,734.39,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Long Island,17.9,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Neil Island,18.9,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,North Andaman,1375.99,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Redskin,3.3,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Rutland,137.17,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Snob Island,0.22,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,South Andaman,1350.82,km2
andamans_data,2015,"Surendran, H., and K. Vasudevan. 2015. The devil is in the detail: estimating species richness, density, and relative abundance of tropical island herpetofauna. BMC Ecology 15.",islands,Lizards,Tarmugli,11.5,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,4,517.95,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,5,647.44,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,6,776.92,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,8,6215.4,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,9,1553.85,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,11,1812.82,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,12,2330.77,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,13,3625.65,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,14,2945.84,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,15,2622.12,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,16,2330.77,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,17,4920.52,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,18,2330.77,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,19,3237.19,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,20,226.6,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,21,10488.49,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,22,582.69,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,23,971.16,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,24,226.6,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,25,1812.82,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,26,5179.5,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,27,2913.47,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,28,793.11,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,29,1812.82,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,30,582.69,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,31,776.92,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,25S,582.69,km2
glades_data,2007,"Ryberg, W. A., and J. M. Chase. 2007. Predator‐Dependent Species‐Area Relationships. The American Naturalist 170:636–642.",glades,Grasshoppers,27W,1748.08,km2
forest_fragments_data,2011,"Giladi, I., Y. Ziv, F. May, and F. Jeltsch. 2011. Scale-dependent determinants of plant species richness in a semi-arid fragmented agro-ecosystem: Scale-dependent plant diversity in an agro-ecosystem. Journal of Vegetation Science 22:983–996.",fragments,Plants,Dvir_59,0.1826,ha
forest_fragments_data,2011,"Giladi, I., Y. Ziv, F. May, and F. Jeltsch. 2011. Scale-dependent determinants of plant species richness in a semi-arid fragmented agro-ecosystem: Scale-dependent plant diversity in an agro-ecosystem. Journal of Vegetation Science 22:983–996.",fragments,Plants,Dvir_31,0.2393,ha
forest_fragments_data,2011,"Giladi, I., Y. Ziv, F. May, and F. Jeltsch. 2011. Scale-dependent determinants of plant species richness in a semi-arid fragmented agro-ecosystem: Scale-dependent plant diversity in an agro-ecosystem. Journal of Vegetation Science 22:983–996.",fragments,Plants,Dvir_57,0.2458,ha
