"Study","Scale","index","Intercept","Slope","r.squared","p.value"
"grasshopper_glades_RybergChase","alpha","S_n",0.236900527704736,0.208994455327415,0.239883400726454,0.00815689473228593
"grasshopper_glades_RybergChase","alpha","S_PIE",-0.0163625404559172,0.204480924228342,0.371526674112165,0.000575065822110012
"grasshopper_glades_RybergChase","beta","beta_S_n",2.37492507729269,-0.208765787502476,0.273994304025068,0.00425686072371267
"grasshopper_glades_RybergChase","beta","beta_S_PIE",0.58181704630632,-0.0425304770750824,0.0240415701269384,0.430789644236766
"grasshopper_glades_RybergChase","gamma","S_n",1.81959687799791,0.0609545046322878,0.0993583625471743,0.102288907298185
"grasshopper_glades_RybergChase","gamma","S_PIE",0.178068965003443,0.179247711867104,0.374385460905996,0.000540215366595214
"grasshopper_glades_RybergChase","gamma","S_total",0.782344597020253,0.262672313878383,0.36045169262479,0.000730965911673465
"lizards_islands_SurendranVasudevan","alpha","S_n",0.578927730004099,0.139612531264459,0.596211516953945,0.00535575382731533
"lizards_islands_SurendranVasudevan","alpha","S_PIE",0.473519000732445,0.117562614927256,0.31923836491221,0.0701148074624657
"lizards_islands_SurendranVasudevan","beta","beta_S_n",0.28917649272102,0.0391059290378795,0.131888349715998,0.272306939945642
"lizards_islands_SurendranVasudevan","beta","beta_S_PIE",0.327720546475153,-0.0421188053316139,0.0773475013256775,0.40762558620966
"lizards_islands_SurendranVasudevan","gamma","S_n",0.716086148960392,0.177606605203824,0.75006652976753,0.000566265989141055
"lizards_islands_SurendranVasudevan","gamma","S_PIE",0.697733511722339,0.0755589935978931,0.26513438875014,0.105060634404409
"lizards_islands_SurendranVasudevan","gamma","S_total",0.607607966903805,0.227074729974079,0.767839248743902,0.00040259493933276
"plants_habitat_fragments_Giladi_et_al","alpha","S_n",3.08232170571115,0.227652133736589,0.391657988722611,0.132749582236179
"plants_habitat_fragments_Giladi_et_al","alpha","S_PIE",0.893104697685812,0.0840829534453021,0.0297941481863699,0.711314210598907
"plants_habitat_fragments_Giladi_et_al","beta","beta_S_n",0.177969571080332,-0.0173079449908069,0.0150908069767764,0.793022459304893
"plants_habitat_fragments_Giladi_et_al","beta","beta_S_PIE",0.0101469538156387,0.0297787427568528,0.272637113620635,0.229295878267982
"plants_habitat_fragments_Giladi_et_al","gamma","S_n",3.23665882943946,0.183019323754777,0.31600842064887,0.189013856075238
"plants_habitat_fragments_Giladi_et_al","gamma","S_PIE",0.839569893340854,0.04375030431215,0.00782783376080868,0.850387276013645
"plants_habitat_fragments_Giladi_et_al","gamma","S_total",3.55415423672234,0.373488879201347,0.645480113048981,0.0295104305999034
